year_month,country,country_code,uifpi_value,cpi_value,cpi_food,uifpi_change,cpi_change,both_present
2018-01,Australia,AU,100.0,104.574,100.8833,,0.148249,yes
2018-07,Australia,AU,100.0,105.4098,100.4745,0.0,0.147071,yes
2018-12,Australia,AU,100.0,105.967,102.8469,0.0,0.0,yes
2019-06,Australia,AU,75.0,106.9886,102.9428,-25.0,0.173872,yes
2019-07,Australia,AU,349.9999,107.1744,103.0168,366.666533,0.173663,yes
2019-08,Australia,AU,87.5,107.422,103.5319,-74.999993,0.231025,yes
2019-09,Australia,AU,115.0,107.6697,104.0471,31.428571,0.230586,yes
2019-10,Australia,AU,143.75,107.9173,104.5622,25.0,0.229963,yes
2019-11,Australia,AU,100.0,108.0411,105.5103,-30.434783,0.114717,yes
2021-08,Australia,AU,100.0,111.6632,108.6789,0.0,0.445542,yes
2021-09,Australia,AU,100.0,112.1585,108.828,0.0,0.443566,yes
2023-05,Australia,AU,100.0,124.6653,124.571,0.0,0.398889,yes
2024-02,Australia,AU,100.0,128.0396,126.8003,0.0,0.339639,yes
2026-06,Australia,AU,993.0068,,,893.0068,,no
2018-01,India,IN,100.0,110.169,108.3333,,0.699335,yes
2018-07,India,IN,100.0,115.1419,109.9057,0.0,3.436508,yes
2018-11,India,IN,50.0,115.5244,108.2547,-50.0,0.0,yes
2018-12,India,IN,100.0,115.1419,106.8396,100.0,-0.331099,yes
2019-02,India,IN,50.0,117.437,106.2107,-50.0,0.0,yes
2019-04,India,IN,100.0,119.3497,107.8616,100.0,0.97088,yes
2019-05,India,IN,50.0,120.1148,109.1981,-50.0,0.641057,yes
2019-06,India,IN,50.0,120.8798,,0.0,0.636891,yes
2019-07,India,IN,50.0,122.0274,,0.0,0.949373,yes
2019-08,India,IN,60.0,122.4099,,20.0,0.313454,yes
2019-09,India,IN,53.0,123.175,,-11.666667,0.625031,yes
2019-10,India,IN,48.6111,124.3226,,-8.280943,0.931683,yes
2019-11,India,IN,43.75,125.4702,,-9.999979,0.923082,yes
2020-07,India,IN,50.0,128.5304,,14.285714,1.2048,yes
2022-03,India,IN,100.0,138.8218,,100.0,0.800029,yes
2022-06,India,IN,50.0,142.3474,,-50.0,0.155073,yes
2023-05,India,IN,50.0,148.4071,,0.0,0.372592,yes
2023-06,India,IN,25.0,150.2801,,-50.0,1.262069,yes
2019-09,Indonesia,ID,100.0,,,,,no
2019-03,Malaysia,MY,100.0,121.1,132.5,,0.248344,yes
2019-05,Malaysia,MY,200.0,121.4,132.7,100.0,0.247729,yes
2019-06,Malaysia,MY,140.0,121.4,132.8,-30.0,0.0,yes
2019-07,Malaysia,MY,264.1428,121.5,133.2,88.673429,0.082372,yes
2019-08,Malaysia,MY,116.6666,121.8,133.5,-55.831997,0.246914,yes
2019-09,Malaysia,MY,94.4444,121.8,133.2,-19.047611,0.0,yes
2019-10,Malaysia,MY,180.0,122.0,133.3,90.588325,0.164204,yes
2019-11,Malaysia,MY,100.0,122.1,133.3,-44.444444,0.081967,yes
2019-12,Malaysia,MY,100.0,122.3,133.9,0.0,0.1638,yes
2021-11,Malaysia,MY,200.0,124.0,138.7,100.0,0.242522,yes
2022-03,Malaysia,MY,49.9999,125.6,141.6,-75.00005,0.319489,yes
2023-01,Malaysia,MY,100.0,129.5,150.5,100.0004,0.232198,yes
2026-06,Malaysia,MY,804.8505,,,704.8505,,no
2019-06,Singapore,SG,100.0,,,,,no
2019-07,Singapore,SG,112.5,,,12.5,,no
2019-08,Singapore,SG,75.0,,,-33.333333,,no
2019-09,Singapore,SG,82.5,,,10.0,,no
2019-10,Singapore,SG,71.875,,,-12.878788,,no
2019-11,Singapore,SG,75.0,,,4.347826,,no
2020-01,Singapore,SG,75.0,114.241027439214,,0.0,-0.172112,yes
2020-04,Singapore,SG,75.0,,,0.0,,no
2021-08,Singapore,SG,150.0,,,100.0,,no
2022-07,Singapore,SG,150.0,,,0.0,,no
2022-10,Singapore,SG,75.0,,,-50.0,,no
2023-05,Singapore,SG,37.5,,,-50.0,,no
2026-06,Singapore,SG,705.1601,,,1780.426933,,no
2026-06,Thailand,TH,100.0,,,,,no
2018-07,United Kingdom,GB,100.0,105.8,101.7,,0.0,yes
2018-12,United Kingdom,GB,100.0,107.1,102.5,0.0,0.093458,yes
2019-05,United Kingdom,GB,199.9999,107.9,102.9,99.9999,0.27881,yes
2019-06,United Kingdom,GB,160.0,107.9,103.1,-19.99996,0.0,yes
2019-07,United Kingdom,GB,116.6667,107.9,103.1,-27.083312,0.0,yes
2019-08,United Kingdom,GB,150.0,108.4,103.7,28.571392,0.463392,yes
2019-09,United Kingdom,GB,219.9999,108.5,103.5,46.6666,0.092251,yes
2019-10,United Kingdom,GB,175.0,108.3,102.8,-20.454509,-0.184332,yes
2019-11,United Kingdom,GB,199.9999,108.5,103.7,14.285657,0.184672,yes
2021-09,United Kingdom,GB,166.6666,112.4,104.2,-16.666658,0.267618,yes
2023-05,United Kingdom,GB,2099.9993,131.3,132.9,1160.000084,0.690184,yes
2026-06,United Kingdom,GB,824.1223,,,-60.756068,,no
2018-01,United States,US,100.0,103.23,99.0,,0.633652,yes
2018-07,United States,US,140.625,105.01,99.0,40.625,-0.076125,yes
2018-12,United States,US,140.625,104.15,99.07,0.0,-0.477783,yes
2019-02,United States,US,93.75,104.83,99.92,-33.333333,0.469619,yes
2019-07,United States,US,860.1562,106.44,99.63,817.499947,0.141123,yes
2019-08,United States,US,93.75,106.34,99.55,-89.100817,-0.09395,yes
2019-09,United States,US,85.9375,106.36,99.71,-8.333333,0.018808,yes
2019-10,United States,US,83.3333,106.59,100.04,-3.030342,0.216247,yes
2021-09,United States,US,93.75,114.06,108.44,12.500045,0.219664,yes
2022-06,United States,US,93.75,124.45,119.25,0.0,1.566963,yes
2022-07,United States,US,46.875,124.2,120.94,-50.0,-0.200884,yes
